#;#;#;#;#;#;#;#;#;#;#;#;#;#;x
EVTNAME811100;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;x
declare_independence_unilaterally_desc;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;For too long, the home government has ignored the interests of $COUNTRY$. Many in our country clamour for independence, allowing us full control over our defence and trade affairs to chart our own course through history. The opportunity is ripe to advance a declaration of independence, but this move would be a drastic one that may tear our political landscape asunder. The conservative and reactionary factions of our society will undoubtedly view this move as a treasonous insurrection.;x
petition_for_independence_title;Petition for Independence;Petition for Independence;Petition for Independence;Petition for Independence;Petition for Independence;Petition for Independence;Petition for Independence;Petition for Independence;Petition for Independence;Petition for Independence;Petition for Independence;Petition for Independence;Petition for Independence;x
petition_for_independence_desc;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;The democratic voice within our country has spoken - our people wish to assert their right to self-determination. The will of the people compels us to petition the mother government for a peaceful separation.;x
EVTNAME811103;Revolution in Britain!;Revolution in Britain!;Revolution in Britain!;Revolution in Britain!;Revolution in Britain!;Revolution in Britain!;Revolution in Britain!;Revolution in Britain!;Revolution in Britain!;Revolution in Britain!;Revolution in Britain!;Revolution in Britain!;Revolution in Britain!;x
EVTDESC811103;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;Dramatic events have seen the monarchy deposed from the throne! Members of the Royal Family have fled the country in disgrace as republicans storm England's palaces.;x
EVTOPTA811103;God help us!;God help us!;God help us!;God help us!;God help us!;God help us!;God help us!;God help us!;God help us!;God help us!;God help us!;God help us!;God help us!;x
EVTNAME811104;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;Sanctuary in $COUNTRY$?;x
EVTDESC811104;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;Members of the British Royal Family, royalist sympathisers and others fleeing the new regime in London are petitioning us to allow them to stay in $COUNTRY$.;x
EVTOPTA811104;The royals may stay;The royals may stay;The royals may stay;The royals may stay;The royals may stay;The royals may stay;The royals may stay;The royals may stay;The royals may stay;The royals may stay;The royals may stay;The royals may stay;The royals may stay;x
EVTOPTB811104;The royals must go;The royals must go;The royals must go;The royals must go;The royals must go;The royals must go;The royals must go;The royals must go;The royals must go;The royals must go;The royals must go;The royals must go;The royals must go;x
EVTNAME811106;Declaring Our Allegiance;Declaring Our Allegiance;Declaring Our Allegiance;Declaring Our Allegiance;Declaring Our Allegiance;Declaring Our Allegiance;Declaring Our Allegiance;Declaring Our Allegiance;Declaring Our Allegiance;Declaring Our Allegiance;Declaring Our Allegiance;Declaring Our Allegiance;Declaring Our Allegiance;x
EVTDESC811106;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;The collapse of the old regime has sent shock waves throughout the former dominions of the Empire. The status of our realm is now in considerable doubt. To whom should we swear our fealty? Shall the $COUNTRY_ADJ$ nation seize this opportunity for independence?;x
EVTOPTA811106;We are loyal to the Crown!;We are loyal to the Crown!;We are loyal to the Crown!;We are loyal to the Crown!;We are loyal to the Crown!;We are loyal to the Crown!;We are loyal to the Crown!;We are loyal to the Crown!;We are loyal to the Crown!;We are loyal to the Crown!;We are loyal to the Crown!;We are loyal to the Crown!;We are loyal to the Crown!;x
EVTOPTB811106;We are loyal to the new regime!;We are loyal to the new regime!;We are loyal to the new regime!;We are loyal to the new regime!;We are loyal to the new regime!;We are loyal to the new regime!;We are loyal to the new regime!;We are loyal to the new regime!;We are loyal to the new regime!;We are loyal to the new regime!;We are loyal to the new regime!;We are loyal to the new regime!;We are loyal to the new regime!;x
EVTOPTC811106;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;We are loyal to none other than ourselves!;x
EVTNAME811107;The British Restoration!;The British Restoration!;The British Restoration!;The British Restoration!;The British Restoration!;The British Restoration!;The British Restoration!;The British Restoration!;The British Restoration!;The British Restoration!;The British Restoration!;The British Restoration!;The British Restoration!;x
EVTDESC811107;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;Royalists have triumphed in Great Britain, and the monarchy has been restored to its rightful status!;x
EVTOPTA811107;Send word to the Old Empire!;Send word to the Old Empire!;Send word to the Old Empire!;Send word to the Old Empire!;Send word to the Old Empire!;Send word to the Old Empire!;Send word to the Old Empire!;Send word to the Old Empire!;Send word to the Old Empire!;Send word to the Old Empire!;Send word to the Old Empire!;Send word to the Old Empire!;Send word to the Old Empire!;x
EVTNAME811108;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;End of the $COUNTRY_ADJ$ Exile;x
EVTDESC811108;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;Royalists have triumphed in Great Britain, and the British monarchy has been restored to its rightful status. Members of the Royal Family have begun to depart for London, marking the end of their exile in $COUNTRY$.;x
EVTOPTA811108;Send our congratulations!;Send our congratulations!;Send our congratulations!;Send our congratulations!;Send our congratulations!;Send our congratulations!;Send our congratulations!;Send our congratulations!;Send our congratulations!;Send our congratulations!;Send our congratulations!;Send our congratulations!;Send our congratulations!;x
EVTNAME811109;Rebuilding the Empire;Rebuilding the Empire;Rebuilding the Empire;Rebuilding the Empire;Rebuilding the Empire;Rebuilding the Empire;Rebuilding the Empire;Rebuilding the Empire;Rebuilding the Empire;Rebuilding the Empire;Rebuilding the Empire;Rebuilding the Empire;Rebuilding the Empire;x
