# Hungary Flavor Mod;;;;;;;;;;;;;;x
primus_inter_pares_title;Primus Inter Pares;Primus Inter Pares;Primus Inter Pares;;;;;;;;;;;x
romanian_compromise_desc;From the 16-17th centuries, when Hungary was ravaged from the wars with the Ottoman Empire, more and more Romanian immigrants arrived to Transylvania, in so huge numbers, that in some regions they are now in majority. The idea to have a nation of their own, spreads rapidly among them, which causes ethnic tensions to rise. We have two option. We either resume the policy of assimilation, which might lead to an explosion of ethnic tensions, or we might Compromise with them, just like we did in the Croatian Compromise. This way we recognise their citizenship and give them some of the power they seek. Having more such compromises considerably enriches our own culture, and our tolerance of minorities raises our reputation in the World. The Powers however might consider this kind of bowing to nationalist pressure a weakness.;From the 16-17th centuries, when Hungary was ravaged from the wars with the Ottoman Empire, more and more Romanian immigrants arrived to Transylvania, in so huge numbers, that in some regions they are now in majority. The idea to have a nation of their own, spreads rapidly among them, which causes ethnic tensions to rise. We have two option. We either resume the policy of assimilation, which might lead to an explosion of ethnic tensions, or we might Compromise with them, just like we did in the Croatian Compromise. This way we recognise their citizenship and give them some of the power they seek. Having more such compromises considerably enriches our own culture, and our tolerance of minorities raises our reputation in the World. The Powers however might consider this kind of bowing to nationalist pressure a weakness.;From the 16-17th centuries, when Hungary was ravaged from the wars with the Ottoman Empire, more and more Romanian immigrants arrived to Transylvania, in so huge numbers, that in some regions they are now in majority. The idea to have a nation of their own, spreads rapidly among them, which causes ethnic tensions to rise. We have two option. We either resume the policy of assimilation, which might lead to an explosion of ethnic tensions, or we might Compromise with them, just like we did in the Croatian Compromise. This way we recognise their citizenship and give them some of the power they seek. Having more such compromises considerably enriches our own culture, and our tolerance of minorities raises our reputation in the World. The Powers however might consider this kind of bowing to nationalist pressure a weakness.;;;;;;;;;;;x
dominions_of_the_crown_title;A Szent Korona országai;A Szent Korona országai;A Szent Korona országai;;;;;;;;;;;x
dominions_of_the_crown_desc;"Dominions of the Holy Crown is a term traditionally used for the states surrounding Hungary that are either vassals of Hungary or otherwise in the Hungarian sphere of influence. Such states were notably the military buffer states in the Balkans called ""bánságok"" (plural) or the vassal principality of Wallachia in the 14th century. With enough prestige and power, at the heigth of imperialism, a more direct control may be exercised over the sphere of influence.";"Dominions of the Holy Crown is a term traditionally used for the states surrounding Hungary that are either vassals of Hungary or otherwise in the Hungarian sphere of influence. Such states were notably the military buffer states in the Balkans called ""bánságok"" (plural) or the vassal principality of Wallachia in the 14th century. With enough prestige and power, at the heigth of imperialism, a more direct control may be exercised over the sphere of influence.";"Dominions of the Holy Crown is a term traditionally used for the states surrounding Hungary that are either vassals of Hungary or otherwise in the Hungarian sphere of influence. Such states were notably the military buffer states in the Balkans called ""bánságok"" (plural) or the vassal principality of Wallachia in the 14th century. With enough prestige and power, at the heigth of imperialism, a more direct control may be exercised over the sphere of influence.";;;;;;;;;;;x
dual_monarchy_title;Magyar-Osztrák Monarchia;Magyar-Osztrák Monarchia;Magyar-Osztrák Monarchia;;;;;;;;;;;x
dual_monarchy_desc;Having conquered Vienna, we have the option to enact a dual monarchy between Hungary and Austria, with with Hungarian supremacy;Having conquered Vienna, we have the option to enact a dual monarchy between Hungary and Austria, with with Hungarian supremacy;Having conquered Vienna, we have the option to enact a dual monarchy between Hungary and Austria, with with Hungarian supremacy;;;;;;;;;;;x
nandorfehervar_title;Nándorfehérvár;Nándorfehérvár;Nándorfehérvár;;;;;;;;;;;x
nandorfehervar_desc;Nándorfehérvár was the name of Belgrade when it was a Hungarian fortress in the (late) Middle Ages. Most notable was its siege in 1456, when János Hunyadi, Mihály Szilágyi and the crusaders of Giovanni da Capestrano defeated the Ottomans that thwarted their advance in the region for 50 years. The fortress eventually fell in 1522. The local population might not view the renaming of the city favorably.;Nándorfehérvár was the name of Belgrade when it was a Hungarian fortress in the (late) Middle Ages. Most notable was its siege in 1456, when János Hunyadi, Mihály Szilágyi and the crusaders of Giovanni da Capestrano defeated the Ottomans that thwarted their advance in the region for 50 years. The fortress eventually fell in 1522. The local population might not view the renaming of the city favorably.;Nándorfehérvár was the name of Belgrade when it was a Hungarian fortress in the (late) Middle Ages. Most notable was its siege in 1456, when János Hunyadi, Mihály Szilágyi and the crusaders of Giovanni da Capestrano defeated the Ottomans that thwarted their advance in the region for 50 years. The fortress eventually fell in 1522. The local population might not view the renaming of the city favorably.;;;;;;;;;;;x
buda_pest_title;Budapest;Budapest;Budapest;;;;;;;;;;;x
buda_pest_desc;Before 1873 Buda and Pest were two separate cities on the two banks of the Danube, with Buda being the traditional capital and Pest being an industrial and economic center. The two cities eventually grew together, which led to their unification in 1873. This also marks a symbolic start of the industrial revolution in Hungary, lasting till the 1890s.;Before 1873 Buda and Pest were two separate cities on the two banks of the Danube, with Buda being the traditional capital and Pest being an industrial and economic center. The two cities eventually grew together, which led to their unification in 1873. This also marks a symbolic start of the industrial revolution in Hungary, lasting till the 1890s.;Before 1873 Buda and Pest were two separate cities on the two banks of the Danube, with Buda being the traditional capital and Pest being an industrial and economic center. The two cities eventually grew together, which led to their unification in 1873. This also marks a symbolic start of the industrial revolution in Hungary, lasting till the 1890s.;;;;;;;;;;;x
rename_nandorfehervar_title;Belgrade;Belgrade;Belgrade;;;;;;;;;;;x
rename_nandorfehervar_desc;We have reclaimed our capital from the opressors! We should rename it to Belgrade, that it once was.;We have reclaimed our capital from the opressors! We should rename it to Belgrade, that it once was.;We have reclaimed our capital from the opressors! We should rename it to Belgrade, that it once was.;;;;;;;;;;;x
pest_vac_railroad_title;Pest-Vác Railroad;Pest-Vác Railroad;Pest-Vác Railroad;;;;;;;;;;;x
pest_vac_railroad_desc;In 1846 the first railroad line was built in Hungary between Pest and Vác. This marks a significant step in the modernisation of the Nation.;In 1846 the first railroad line was built in Hungary between Pest and Vác. This marks a significant step in the modernisation of the Nation.;In 1846 the first railroad line was built in Hungary between Pest and Vác. This marks a significant step in the modernisation of the Nation.;;;;;;;;;;;x
lanchid_begins_title;Start Construction of Lánchíd;Start Construction of Lánchíd;Start Construction of Lánchíd;;;;;;;;;;;x
lanchid_begins_desc;In 1839 works have begun on the first permanent bridge over the river Danube to connect Pest and Buda. The project's initiator was Baron István Széchenyi, and its main investor Baron György Sina. The chief engineer was scottish engineer Adam Clark, working based on the plans of englishman William Tierney Clark. The constrution lasted for 10 years.;In 1839 works have begun on the first permanent bridge over the river Danube to connect Pest and Buda. The project's initiator was Baron István Széchenyi, and its main investor Baron György Sina. The chief engineer was scottish engineer Adam Clark, working based on the plans of englishman William Tierney Clark. The constrution lasted for 10 years.;In 1839 works have begun on the first permanent bridge over the river Danube to connect Pest and Buda. The project's initiator was Baron István Széchenyi, and its main investor Baron György Sina. The chief engineer was scottish engineer Adam Clark, working based on the plans of englishman William Tierney Clark. The constrution lasted for 10 years.;;;;;;;;;;;x
lanchid_title;Lánchíd;Lánchíd;Lánchíd;;;;;;;;;;;x
lanchid_desc;In 1849 the Lánchíd (i.e. chain-bridge) was finished. It was the first permanent bridge over the river Danube that connected Pest and Buda. The chief engineer was scottish engineer Adam Clark. Today, the square at the Buda bridgehead, is named after him. The Lánchíd was a significant infrastructural development, both helping trade and commerce and making the life of the population easier.;In 1849 the Lánchíd (i.e. chain-bridge) was finished. It was the first permanent bridge over the river Danube that connected Pest and Buda. The chief engineer was scottish engineer Adam Clark. Today, the square at the Buda bridgehead, is named after him. The Lánchíd was a significant infrastructural development, both helping trade and commerce and making the life od the population easier.;In 1849 the Lánchíd (i.e. chain-bridge) was finished. It was the first permanent bridge over the river Danube that connected Pest and Buda. The chief engineer was scottish engineer Adam Clark. Today, the square at the Buda bridgehead, is named after him. The Lánchíd was a significant infrastructural development, both helping trade and commerce and making the life od the population easier.;;;;;;;;;;;x
milenium_title;Millenial Celebrations;Millenial Celebrations;Millenial Celebrations;;;;;;;;;;;x
milenium_desc;The years 1895-96 are the 1000th anniversary of the Magyar tribes arriving to the Carpathian basin. On this occasion large celebrations were held throughout the country for the whole year. This was a period of great pride and nationalism. (Legend says, the academic comitee, tasked with the research of the origin of Magyars, were asked to date the arrival for a year later, as preparations for the celebrations were not yet ready in 1895.);The years 1895-96 are the 1000th anniversary of the Magyar tribes arriving to the Carpathian basin. On this occasion large celebrations were held throughout the country for the whole year. This was a period of great pride and nationalism. (Legend says, the academic comitee, tasked with the research of the origin of Magyars, were asked to date the arrival for a year later, as preparations for the celebrations were not yet ready in 1895.);The years 1895-96 are the 1000th anniversary of the Magyar tribes arriving to the Carpathian basin. On this occasion large celebrations were held throughout the country for the whole year. This was a period of great pride and nationalism. (Legend says, the academic comitee, tasked with the research of the origin of Magyars, were asked to date the arrival for a year later, as preparations for the celebrations were not yet ready in 1895.);;;;;;;;;;;x
milenial_celebrations;Millenial Celebrations;Millenial Celebrations;Millenial Celebrations;;;;;;;;;;;x
desc_milenial_celebrations;Millenial Celebrations are well under way;Millenial Celebrations are well under way;Millenial Celebrations are well under way;;;;;;;;;;;x
regulate_tisza_title;Regulate Tisza River;Regulate Tisza River;Regulate Tisza River;;;;;;;;;;;x
regulate_tisza_desc;The river Tisza, flowing through Alföld, threatens large areas with its regular floods and also creating swamps in its floodplains. By regulating the river and draining the swamps, more land can be cultivated and so production increases.;The river Tisza, flowing through Alföld, threatens large areas with its regular floods and also creating swamps in its floodplains. By regulating the river and draining the swamps, more land can be cultivated and so production increases.;The river Tisza, flowing through Alföld, threatens large areas with its regular floods and also creating swamps in its floodplains. By regulating the river and draining the swamps, more land can be cultivated and so production increases.;;;;;;;;;;;x
regulated_tisza;Regulated Tisza River;Regulated Tisza River;Regulated Tisza River;;;;;;;;;;;x
desc_regulated_tisza;The river Tisza, flowing through Alföld, threatens large areas with its regular floods and also creating swamps in its floodplains. By regulating the river and draining the swamps, more land can be cultivated and so production increases.;The river Tisza, flowing through Alföld, threatens large areas with its regular floods and also creating swamps in its floodplains. By regulating the river and draining the swamps, more land can be cultivated and so production increases.;The river Tisza, flowing through Alföld, threatens large areas with its regular floods and also creating swamps in its floodplains. By regulating the river and draining the swamps, more land can be cultivated and so production increases.;;;;;;;;;;;x
desc_industrial_boom;Industrial Boom;Industrial Boom;Industrial Boom;;;;;;;;;;;x
build_parliament_title;Build The Parliament;Build The Parliament;Build The Parliament;;;;;;;;;;;x
build_parliament_desc;For the millenial celebrations of 1896 a new and impressive building in neo-gothic style was built to house the Hungarian Parliament, ultimately making Budapest the econimic and administrative center of Hungary. The Parliament building is one of the most notable landmarks of (even modern day) Budapest and houses the Parliament ever since.;For the millenial celebrations of 1896 a new and impressive building in neo-gothic style was built to house the Hungarian Parliament, ultimately making Budapest the econimic and administrative center of Hungary. The Parliament building is one of the most notable landmarks of (even modern day) Budapest and houses the Parliament ever since.;For the millenial celebrations of 1896 a new and impressive building in neo-gothic style was built to house the Hungarian Parliament, ultimately making Budapest the econimic and administrative center of Hungary. The Parliament building is one of the most notable landmarks of (even modern day) Budapest and houses the Parliament ever since.;;;;;;;;;;;x
parliament_building;Parliament Building;Parliament Building;Parliament Building;;;;;;;;;;;x
desc_parliament_building;The building where the nation's parliament assembles.;The building where the nation's parliament assembles.;The building where the nation's parliament assembles.;;;;;;;;;;;x
lanchid_opt;Great!;;;;;;;;;;;;;x
parliament_title;The Parlament;;;;;;;;;;;;;x
purge_foreign_elite_title;Purge Foreign Elite;;;;;;;;;;;;;x
purge_foreign_elite_desc;Expel the foreign oppressors from our country!;;;;;;;;;;;;;x
reform_age;Reform Age;;;;;;;;;;;;;x
desc_reform_age;An age of political activity.;;;;;;;;;;;;;x
reformkor_desc;Since the Diet of 1825 the liberal Hungarian nobility, led by Count István Széchenyi, is making an effort to modernise the country. Although they achieved very little in the political scene, this age saw the foundation of libraries, theatres and the Hungarian Academy of Sciences.;;;;;;;;;;;x
AUS_633;Felvidék;;;;;;;;;;;;;x
AUS_623;Dunántúl;;;;;;;;;;;;;x
AUS_654;Partium;;;;;;;;;;;;;x
AUS_657;Székelyföld;;;;;;;;;;;;;x
AUS_777;Újvidék;;;;;;;;;;;;;x
PROV633;Pozsony;;;;;;;;;;;;;x
PROV634;Trencsén;;;;;;;;;;;;;x
PROV635;Nyitra;;;;;;;;;;;;;x
PROV636;Besztercebánya;;;;;;;;;;;;;x
PROV637;Kassa;;;;;;;;;;;;;x
PROV638;Rozsnyó;;;;;;;;;;;;;x
PROV640;Pécs;;;;;;;;;;;;;x
PROV641;Buda;;;;;;;;;;;;;x
PROV643;Székesfehérvár;;;;;;;;;;;;;x
PROV644;Kaposvár;;;;;;;;;;;;;x
PROV645;Kecskemét;;;;;;;;;;;;;x
PROV647;Nagyvárad;;;;;;;;;;;;;x
PROV650;Békéscsaba;;;;;;;;;;;;;x
PROV651;Szatmár;;;;;;;;;;;;;x
PROV652;Temesvár;;;;;;;;;;;;;x
PROV654;Kolozsvár;;;;;;;;;;;;;x
PROV655;Gyulafehérvár;;;;;;;;;;;;;x
PROV656;Déva;;;;;;;;;;;;;x
PROV659;Brassó;;;;;;;;;;;;;x
PROV779;Eszék;;;;;;;;;;;;;x
PROV792;Szabadka;;;;;;;;;;;;;x
PROV950;Munkács;;;;;;;;;;;;;x
PROV2533;Marosvásárhely;;;;;;;;;;;;;x
PROV2538;Újvidék;;;;;;;;;;;;;x
